Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Record_Mode_Objects/div_Visit Date (Required)_input-group-addon""))",Firefox 129.0,,,15-10-2024 10:44:29,15-10-2024 10:44:30,0.463s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/th_""))",Firefox 129.0,,,15-10-2024 10:44:30,15-10-2024 10:44:30,0.478s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/td_24""))",Firefox 129.0,,,15-10-2024 10:44:30,15-10-2024 10:44:31,0.478s,PASSED
"setText(findTestObject(""Object Repository/Record_Mode_Objects/textarea_Comment_comment""), ""Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai"")",Firefox 129.0,,,15-10-2024 10:44:31,15-10-2024 10:44:31,0.545s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/button_Book Appointment""))",Firefox 129.0,,,15-10-2024 10:44:31,15-10-2024 10:44:32,0.656s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record_Mode_Objects/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Firefox 129.0,,,15-10-2024 10:44:32,15-10-2024 10:44:32,0.521s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record_Mode_Objects/p_Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai""), ""Jida Intezaar si, Aaj Rabba Wohi Din Aaya hai"")",Firefox 129.0,,,15-10-2024 10:44:32,15-10-2024 10:44:33,0.263s,PASSED
"click(findTestObject(""Object Repository/Record_Mode_Objects/a_Go to Homepage""))",Firefox 129.0,,,15-10-2024 10:44:33,15-10-2024 10:44:33,0.792s,PASSED
closeBrowser(),Firefox 129.0,,,15-10-2024 10:44:33,15-10-2024 10:44:36,2.199s,PASSED
,,,,,,,
Test Cases/Script_Mode_Cases/Script_Demo_Test_Case,Firefox 129.0,Script manually to Run a Test Case,Scripting,15-10-2024 10:44:36,15-10-2024 10:45:01,25.804s,PASSED
"openBrowser("""")",Firefox 129.0,,,15-10-2024 10:44:36,15-10-2024 10:44:41,5.451s,PASSED
maximizeWindow(),Firefox 129.0,,,15-10-2024 10:44:41,15-10-2024 10:44:41,0.268s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Firefox 129.0,,,15-10-2024 10:44:41,15-10-2024 10:44:44,3.078s,PASSED
"verifyTextPresent(""Login"", false)",Firefox 129.0,,,15-10-2024 10:44:44,15-10-2024 10:44:45,1.090s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 10:44:45,15-10-2024 10:44:48,2.019s,PASSED
"setText(findTestObject(""Object Repository/Manual_Script_Mode_Objects/input_Username_username""), ""Admin"")",Firefox 129.0,,,15-10-2024 10:44:48,15-10-2024 10:44:48,0.560s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 10:44:48,15-10-2024 10:44:50,2.012s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Manual_Script_Mode_Objects/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Firefox 129.0,,,15-10-2024 10:44:50,15-10-2024 10:44:50,0.282s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 10:44:50,15-10-2024 10:44:52,2.020s,PASSED
"click(findTestObject(""Object Repository/Manual_Script_Mode_Objects/button_Login""))",Firefox 129.0,,,15-10-2024 10:44:52,15-10-2024 10:44:54,1.675s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 10:44:54,15-10-2024 10:44:56,2.015s,PASSED
"verifyTextPresent(""Dashboard"", false)",Firefox 129.0,,,15-10-2024 10:44:56,15-10-2024 10:44:57,0.464s,PASSED
delay(2),Firefox 129.0,,,15-10-2024 10:44:57,15-10-2024 10:44:59,2.002s,PASSED
closeBrowser(),Firefox 129.0,,,15-10-2024 10:44:59,15-10-2024 10:45:01,2.802s,PASSED
